Nimi	DJ	EX	Kokku	PR	Syva	Üldine	XP	dj01	dj02	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
TankerElite	0	59,761	52,221	57,4	46,0	40,524	46,0	0	0	52,5	144,0	0	0	71,769	44,0	55,878	79,4	53,722	70,877	25,5	43,974	58,763	56,429	0	31,0	47,412	32,0	0	0	37,731	23,667	0	74,0	0	0	0	0	0	72,75	57,0	67,5	42,0	0	0	0	40,313	62,7	34,0	0	1,0	0	0	0	32,0	74,0	4,0	0	52,204
marko169	0	41,842	35,249	40,125	3,0	27,329	3,0	0	0	0	39,65	0	43,25	55,8	0	87,0	0	59,8	0	40,3	36,85	26,286	49,071	34,375	22,6	34,357	0	22,0	36,167	11,0	0	0	28,375	10,333	0	0	0	0	118,667	0	55,0	30,154	50,167	6,0	39,2	23,974	0	74,0	0	0	0	0	0	0	0	3,0	0	35,219
TROLLOLOLOLOLOLO	15,0	47,35	42,824	48,749	41,523	29,923	41,938	15,0	0	38,857	62,059	50,833	52,179	38,964	39,75	31,295	32,364	44,25	52,923	49,024	33,507	41,562	74,0	35,096	13,0	31,053	20,5	43,0	39,0	15,667	34,25	0	41,812	19,25	18,0	0	43,56	21,0	32,25	0	31,5	49,194	64,5	67,81	29,25	30,865	21,0	29,0	0	26,182	44,229	0	0	20,6	57,0	59,6	0	42,806
Anubis	35,8	45,54	44,175	44,466	58,895	43,348	67,143	52,333	11,0	191,125	41,125	38,855	38,697	49,303	42,422	47,175	47,618	55,257	49,528	41,734	48,959	45,6	36,16	0	29,18	53,295	30,229	0	39,898	35,103	47,4	0	36,333	31,903	63,0	0	44,75	19,0	51,657	54,52	36,107	53,191	35,467	45,778	25,667	43,444	47,587	36,292	0	27,737	0	8,0	65,6	116,333	56,0	49,75	0	44,199
outworld	0	38,566	32,0	20,458	20,5	25,781	20,5	0	0	0	124,0	0	0	36,783	0	52,0	0	30,909	67,333	29,0	0,5	20,684	59,833	59,667	0	13,0	0	0	0	7,0	0	0	0	0	0	0	0	29,0	36,0	0	0	0	28,2	0	0	31,864	0	0	0	16,0	24,0	0	0	0	0	3,0	0	31,844
mj	0	58,525	40,494	62,0	0	31,704	0	0	0	34,0	67,25	46,667	61,161	62,333	57,27	0	0	0	0	0	35,5	0	0	0	35,743	32,7	0	16,5	28,667	23,125	0	0	0	0	0	0	0	0	0	0	62,0	0	0	0	0	31,121	0	39,0	0	0	0	0	0	0	0	0	0	40,494
yipers	0	40,765	35,969	41,123	23,0	33,68	23,0	0	0	0	35,36	53,333	44,75	0	0	0	8,0	0	0	0	155,0	0	0	0	84,0	30,138	34,5	37,893	42,0	30,833	12,2	0	26,6	48,308	0	70,6	0	0	0	0	70,0	0	0	0	0	33,736	34,143	27,5	0	0	23,0	0	0	0	0	0	0	35,953
Glad	26,917	27,795	26,72	25,587	26,917	26,234	0	26,917	0	29,25	0	0	0	0	0	0	22,786	41,667	26,129	23,571	31,176	24,493	28,222	38,214	27,842	19,829	18,0	0	0	31,0	24,0	0	0	0	0	0	0	0	24,2	0	7,0	27,5	26,714	29,2	25,875	27,068	25,231	0	0	6,0	0	0	0	0	0	0	0	26,721
Atren	0	44,111	43,8	49,123	38,531	44,185	38,531	0	0	0	44,719	41,5	43,082	42,143	47,0	40,4	61,5	89,0	0	0	0	0	0	0	3,0	47,342	45,4	41,65	0	0	0	0	43,971	58,375	0	40,0	22,0	48,2	0	42,0	0	0	0	0	0	40,407	66,167	41,273	0	19,0	38,321	36,939	43,833	0	0	0	0	43,423
markal	0	81,659	78,743	48,574	0	91,797	0	0	0	0	49,0	0	50,0	0	0	0	0	73,5	85,5	0	91,333	0	83,6	34,0	60,882	100,88	0	168,556	45,667	0,0	127,0	0	0	0	0	0	176,0	0	0	0	0	0	0	0	0	92,412	67,385	0	0	46,672	0	0	0	0	0	0	0	78,743
Kaido.K	39,107	68,439	70,542	73,975	54,435	81,256	55,885	39,107	0	131,333	48,941	0	74,545	64,01	59,163	62,932	68,0	91,892	47,31	68,0	100,357	63,363	57,796	55,362	0	103,737	75,733	70,028	58,5	74,7	47,0	0	69,0	92,0	65,0	59,515	62,806	74,333	92,024	86,0	63,8	67,652	138,889	62,7	59,062	71,612	97,362	42,167	0	66,824	71,643	51,241	45,0	70,5	62,087	40,0	78,667	69,79
uudu	0	14,818	18,12	4,333	0	18,66	0	0	0	0	8,0	0	0	0	0	103,0	0	2,667	0	4,25	13,5	0	0	0	14,6	6,0	0	0	0	14,0	20,0	0	0	0	0	0	0	0	0	13,0	0	0,0	0	0	0	19,8	15,5	19,5	0	0	0	0	0	0	0	0	0	18,12
シkwaper	0	38,108	35,0	26,5	0	18,8	0	0	0	0	0	0	0	0	0	0	0	0	0	22,889	0	69,75	39,364	37,846	0	34,5	1,5	0	0	0	0	0	0	26,5	0	0	0	0	0	0	0	0	0	0	0	22,0	0	0	0	0	0	0	0	0	0	0	0	35,0
Patapon	0	65,025	67,578	71,545	60,0	73,892	60,0	0	0	0	0	0	0	0	0	90,316	71,5	73,125	59,714	138,0	48,471	53,462	84,769	49,5	0	129,375	0	69,5	0	0	0	0	0	0	0	0	0	36,5	76,462	0	42,75	103,667	52,833	0	99,0	57,778	0	0	0	85,0	0	60,0	0	0	0	0	0	67,49
Taurixz	49,2	58,102	58,085	66,488	56,608	43,188	57,766	49,2	0	0	0	0	79,0	65,25	38,0	45,879	77,25	65,026	113,5	69,875	88,0	53,429	55,15	40,286	31,6	0	0	0	0	50,0	0	0	0	0	0	0	76,455	0	62,0	0	0	113,0	59,833	0	0	48,111	0	0	0	0	77,913	46,463	0	0	0	0	0	57,975
André	0	50,297	51,825	63,968	0	48,618	0	0	0	0	0	0	49,368	0	51,091	59,591	38,111	37,9	56,842	47,672	42,286	39,8	83,857	0	0	67,625	21,5	0	0	0	0	0	0	62,4	0	0	76,0	0	56,667	0	0	119,0	58,812	0	0	46,95	43,5	0	0	0	0	0	0	0	0	0	0	51,825
Tristan	73,429	42,43	43,523	25,0	83,625	40,7	155,0	27,0	81,167	0	12,5	0	37,5	45,833	42,5	27,725	50,333	0	40,55	74,421	0	0	43,346	54,0	0	57,0	0	0	0	0	40,125	0	0	0	0	0	35,0	32,5	0	0	0	0	0	0	0	29,0	0	0	0	18,75	0	155,0	0	0	0	0	0	44,128
firehax	0	45,0	49,036	59,469	42,782	62,554	42,782	0	0	0	0	0	46,776	38,792	25,0	41,878	69,8	48,122	51,25	53,712	39,444	26,75	35,7	29,25	28,0	58,619	33,0	50,0	0	36,0	0	0	0	0	0	0	46,8	15,0	0	0	84,0	130,833	54,833	40,667	0	58,831	93,071	63,538	0	20,0	45,0	44,492	38,963	0	0	0	0	48,725
Ea	0	93,867	84,692	0	0	72,182	0	0	0	0	0	0	0	227,0	0	58,778	177,0	124,0	0	0	0	0	50,0	0	0	82,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70,0	0	0	0	0	0	0	0	0	0	0	0	84,692
kaspar	0	24,417	22,595	5,286	21,6	23,23	21,6	0	0	0	43,0	26,0	31,667	7,667	28,75	17,0	0	31,714	0	20,0	0	8,0	0	0	16,25	23,917	0	28,0	0	68,0	0,0	0	7,0	0	0	0	0	0	0	0	0,0	0	0	0	0,0	22,233	37,5	14,75	0	7,5	21,6	0	0	0	0	0	0	22,582
Taavi	49,333	64,25	66,565	170,0	67,25	53,5	121,0	49,333	0	0	94,5	0	0	0	0	60,0	0	0	25,5	147,0	0	70,5	0	3,0	0	63,0	0	0	0	0	0	0	0	0	0	0	0	0	170,0	0	0	0	0	0	0	44,0	0	0	0	0	0	121,0	0	0	0	0	0	66,603
Pls no tilt	0	0	31,341	27,667	0	31,632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39,6	5,0	0	0	0	0	0	0	0	0	0	0	0	15,0	0	0	0	34,0	0	0	0	27,905	17,0	0	0	0	0	0	0	0	0	0	0	31,341
kenlaumets	0	44,283	38,319	40,812	0	28,375	0	0	0	0	21,0	64,8	39,5	77,0	0	0	35,0	0	84,333	49,357	112,0	21,0	0	17,0	0	28,417	42,5	0	4,0	0,0	0	0	0	0	0	0	0	0	0	0	50,714	33,111	0	0	0	27,611	22,0	16,0	0	0	0	0	0	0	0	0	0	38,319
andrestimate	0	28,0	51,3	117,0	0	48,571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28,0	0	0	0	0	38,5	0	0	0	0	0	0	0	0	0	0	0	0	117,0	0	0	0	0	0	0	109,0	0	0	0	0	0	0	0	0	0	0	0	51,3
Kert	56,75	27,954	31,887	34,575	32,478	36,246	31,852	56,75	0	0	47,0	0	0	41,667	33,333	24,117	38,833	39,545	59,5	34,74	18,438	21,3	14,0	0	12,25	41,542	28,789	43,333	0	39,278	0	0	0	0	0	0	24,93	39,636	58,0	0	0	0	0	31,429	0	24,771	43,393	0	0	88,071	0	40,786	30,179	20,75	0	0	0	31,912
hhar0ld	0	69,75	56,541	50,818	0	56,0	0	0	0	0	68,667	136,0	0	0	0	0	0	0	0	0	0	10,0	0	0	30,0	103,429	77,4	0	0	0,0	0	0	72,667	0	0	0	0	32,5	0	0	0	0	0	6,0	0	46,146	35,0	34,0	0	68,333	0	0	0	0	0	0	0	56,541
tankitõrje	0	0	18,636	0	0	18,636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,5	0	0	0	0	0	0	0	0	0	0	0	18,636
f11	0	32,517	29,095	26,875	30,03	26,52	30,03	0	0	0	27,655	43,643	31,182	31,606	20,0	75,0	0	0	0	0	0	0	0	0	0	30,0	17,0	35,475	0	0	0	0	0	0	0	26,875	0	0	0	0	0	0	0	0	0	22,198	0	74,0	0	0	30,03	0	0	0	0	0	0	29,178
sutgon	54,0	51,759	57,642	49,909	67,585	54,272	68,471	54,0	0	0	68,429	53,429	44,667	49,7	19,0	47,571	47,333	151,0	76,588	0	22,0	43,5	58,0	58,0	22,333	54,683	0	0	0	0	0	0	75,0	0	0	0	0	0	0	0	21,0	0	0	0	0	48,891	65,385	73,5	0	47,333	63,404	117,125	124,0	88,833	48,0	134,5	37,4	58,613
Emily Joy Krohn	0	48,966	42,257	41,71	76,667	40,294	76,667	0	0	0	0	47,0	30,9	69,0	118,0	82,75	26,5	0	0	65,5	0	0	0	21,5	29,0	45,625	0	0	0	15,0	25,9	0	31,75	62,0	0	0	0	0	81,333	0	0	32,333	0	0	0	44,5	43,0	15,143	0	0	76,667	0	0	0	0	0	0	42,424
