Nimi	DJ	EX	Kokku	PR	Syva	Üldine	XP	dj01	dj02	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
bode	0	59,346	52,5	0	0	41,82	0	0	0	0	76,375	30,0	49,0	50,211	0	0	0	0	0	36,0	44,167	64,585	0	0	0	55,059	0	0	38,5	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32,923	30,0	39,5	0	0	0	0	0	0	0	0	0	52,5
$A$HA	6,0	72,854	70,542	62,333	56,0	60,5	72,667	6,0	0	0	0	0	0	62,667	123,4	66,786	87,917	78,143	83,409	40,389	58,667	78,2	122,0	0	0	66,6	0	0	0	45,0	26,0	0	43,0	0	0	0	34,0	0	78,333	0	0	0	0	14,0	0	54,0	148,0	0	0	0	0	0	0	0	0	0	72,667	70,434
Raul	54,545	63,86	62,839	64,25	56,463	57,577	57,167	54,545	0	0	0	0	47,087	28,571	26,0	72,327	0	107,35	0	68,5	62,333	56,697	65,17	70,25	0	55,583	0	0	0	0	0	0	0	0	0	0	0	125,0	42,75	0	0	66,979	74,0	48,143	0	59,286	0	0	0	0	51,615	61,412	0	0	0	0	0	62,644
KristjanErik	0	48,667	19,909	0	0	9,125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48,667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,125	0	0	0	0	0	0	0	0	0	0	0	19,909
kristjan.	0	45,167	53,237	25,25	112,333	44,409	112,333	0	0	0	0	0	33,0	0	91,0	8,5	0	97,0	0	0	0	0	0	0	0	56,091	0	0	0	0	0	0	0	0	0	0	25,25	0	0	0	0	0	0	0	0	32,727	0	0	0	0	112,333	0	0	0	0	0	0	56,192
Raki	0	0	3,0	0	0	3,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,0	0	0	0	0	0	0	0	0	0	0	0	3,0
TheCreepySheep	44,083	36,921	36,478	33,714	36,273	37,301	35,701	44,083	0	29,0	34,024	21,071	40,355	38,1	29,952	26,797	40,8	44,091	19,167	48,818	81,667	63,095	35,948	50,167	0	41,06	26,571	0	0	18,091	28,0	0	30,082	30,913	12,0	22,4	39,75	39,9	0	0	0	39,4	0	103,0	0	37,461	37,238	35,932	0	31,467	24,37	40,8	34,208	40,564	22,5	27,5	0	36,471
VanWolfing	0	48,224	46,406	45,75	39,818	45,884	39,818	0	0	0	19,333	3,0	41,556	47,25	59,0	27,0	62,0	0	0	0	53,333	0	0	0	45,0	45,579	0	0	52,333	0	64,0	0	33,4	0	0	0	0	88,0	31,667	0	0	0	0	0	0	35,909	45,333	66,25	0	23,0	39,8	40,0	0	0	0	0	0	46,223
reneberkmann	0	42,417	46,843	33,889	76,333	48,323	76,333	0	0	0	113,5	0	46,75	17,75	0	0	0	0	99,5	28,429	0	0	0	27,0	0	45,5	0	52,72	0	0	0	0	0	0	0	0	0	0	0	33,889	0	0	0	0	0	22,25	0	0	0	0	76,333	0	0	0	0	0	0	47,662
raltm2e	0	26,581	29,955	36,0	25,5	37,188	25,5	0	0	0	0	17,0	20,526	0	0	16,8	64,6	10,0	0	0	0	0	0	0	0	65,333	40,0	0	18,0	0,0	0	0	0	0	0	0	18,0	12,0	44,4	0	0	0	0	0	0	33,167	0	42,0	0	0	25,5	0	0	0	0	0	0	29,7
renar	0	0	81,0	0	0	81,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81,0	0	0	0	0	0	0	0	0	0	0	0	81,0
RSam	0	104,75	54,923	0	46,0	45,4	46,0	0	0	0	0	0	0	0	0	0	51,333	0	0	0	265,0	0	0	0	0	0	0	30,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107,0	0	0	0	0	0	66,5	28,0	0	0	0	44,357	53,326
SiimM	0	46,934	45,613	42,2	0	42,929	0	0	0	0	22,0	37,667	78,5	46,286	128,667	57,444	0	64,571	27,947	55,143	25,364	0	0	37,917	0	33,5	0	0	28,5	0	0	0	0	0	0	0	33,231	15,0	61,5	0	0	55,25	0	26,667	0	68,5	0	84,5	0	51,0	0	0	0	0	0	0	0	45,613
PeebukasNagmir69	0	72,692	73,549	80,733	0	57,75	0	0	0	0	0	0	89,667	0	75,667	69,667	48,778	63,692	120,0	0	170,0	0	89,8	3,0	0	29,0	0	0	85,0	0	0	0	0	0	0	0	0	0	94,25	0	0	32,667	89,75	0	0	88,0	0	0	0	0	0	0	0	0	0	0	0	73,549
Holger	0	56,219	57,723	63,057	0	76,5	0	0	0	0	0	0	74,857	43,65	0	46,875	45,375	90,0	50,818	75,556	0	63,221	0	0	0	0	0	40,5	0	0	0	0	0	0	0	44,7	70,4	0	0	0	0	0	0	0	0	88,5	0	0	0	0	0	0	0	0	0	0	0	57,723
andreivassiljev	40,333	63,324	62,614	75,28	40,333	47,773	0	40,333	0	0	99,667	35,0	77,833	59,556	78,667	59,538	0	97,8	45,2	67,636	0	0	57,8	0	0	50,0	0	0	0	0	28,0	0	53,5	0	0	0	54,2	0	117,6	0	0	73,545	0	0	0	77,0	46,0	0	0	0	0	0	0	0	0	0	0	62,474
sociaL97	0	0	53,0	0	0	53,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65,0	0	0	0	0	0	0	0	0	0	0	0	53,0
Alex.	0	45,086	40,065	29,333	0	23,176	0	0	0	0	18,2	0	48,625	63,0	0	0	0	0	0	57,333	32,1	38,5	29,25	52,767	0	22,467	0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	29,333	0	57,0	0	0	0	0	0	0	0	0	0	0	0	40,065
G[A]stly	0	49,24	57,14	83,333	53,986	102,0	53,986	0	0	0	31,941	0	0	0	0	134,333	0	40,0	0	0	0	82,5	0	0	0	85,333	0	0	0	0	0	0	0	0	0	0	98,8	0	0	0	0	0	31,5	0	0	152,0	0	0	0	96,5	41,833	45,658	290,0	0	60,375	0	0	56,582
zetty	0	55,333	34,407	40,4	11,0	28,206	11,0	0	0	0	45,0	102,0	51,667	0	0	0	0	0	0	0	52,0	0	0	0	0	24,167	0	27,0	46,0	15,667	0	0	0	40,4	0	0	0	0	0	0	0	0	0	0	0	32,35	0	0	0	0	15,0	9,0	0	0	0	0	0	33,982
Th3_D4ng3r	0	0	16,667	0	0	16,667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16,667	0	0	0	0	0	0	0	0	0	0	0	16,667
kaalikas	0	61,286	39,524	34,0	21,6	32,143	21,6	0	0	0	0	157,5	22,8	0	0	0	0	0	0	0	0	0	0	0	0	7,0	0	0	0	0	0	0	0	34,0	0	0	0	0	0	0	0	0	0	0	0	36,333	0	0	0	0	21,6	0	0	0	0	0	0	38,206
Lammas	0	19,0	38,625	44,167	0	25,0	0	0	0	0	0	0	0	0	0	19,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44,167	0	0	0	0	0	0	0	0	25,0	0	0	0	0	0	0	0	0	0	0	0	38,625
semph	0	90,2	54,267	0	70,0	27,875	70,0	0	0	0	65,667	0	159,0	0	95,0	0	0	0	0	0	0	0	0	0	0	32,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26,75	0	25,5	0	0	70,0	0	0	0	0	0	0	54,936
jkymmel	0	48,722	43,244	43,923	24,0	41,711	24,0	0	0	0	48,722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42,25	0	0	0	0	0	0	34,333	51,0	0	0	0	0	0	0	0	0	46,0	0	0	39,222	52,333	0	0	44,0	24,0	0	0	0	0	0	0	43,081
BruskiP	0	0	38,0	0	0	38,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38,0	0	0	0	0	0	0	0	0	0	0	0	38,0
Entityknownevil	0	0	10,0	0	0	10,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,0	0	0	0	0	0	0	0	0	0	0	0	10,0
blender ™	0	0	3,286	0	0	3,286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,286	0	0	0	0	0	0	0	0	0	0	0	3,286
JaagupSelli	0	50,548	38,427	24,75	30,444	34,203	30,444	0	0	0	53,941	29,0	24,0	60,5	0	0	57,0	44,5	0	49,0	0	0	0	0	0	33,696	66,0	0	0	25,5	0	0	24,75	0	0	0	0	0	0	0	0	0	0	0	0	44,625	20,857	26,6	0	0	30,0	30,667	0	0	0	0	0	38,201
Kadi Riin	0	68,0	40,5	0	0	13,0	0	0	0	0	68,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13,0	0	0	0	0	0	0	0	0	0	0	0	40,5
NeljaRaudne	0	0	41,35	0	0	41,35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36,25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44,75	0	0	0	0	0	0	0	0	0	0	0	41,35
L1ghtK	0	42,552	38,939	32,421	0	58,0	0	0	0	0	39,0	0	81,0	0	0	0	0	0	39,5	28,2	0	0	58,714	25,25	0	0	0	0	0	0	0	0	0	0	0	0	26,267	0	0	0	0	55,5	0	0	0	58,0	0	0	0	0	0	0	0	0	0	0	0	38,939
maeiteamidagi	0	64,778	59,697	54,722	0	67,0	0	0	0	0	99,0	60,6	0	0	41,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32,0	0	0	0	67,0	0	0	0	57,562	0	0	0	0	0	0	0	59,697
lenny666	0	111,892	110,735	120,524	158,667	82,304	158,667	0	0	0	0	0	96,875	103,647	0	101,265	154,286	112,125	0	55,75	132,944	0	246,333	0	0,0	68,0	100,0	112,857	0	0	0	0	92,0	132,0	0	0	108,286	0	0	0	0	165,5	0	0	191,0	29,5	0	0	0	177,0	0	158,667	0	0	0	0	0	111,237
kermz	0	52,125	46,06	37,682	0	46,433	0	0	0	0	36,0	94,5	0	0	0	79,0	0	91,5	0	39,0	0	0	0	0	17,333	46,643	0	57,196	0	0,0	0	0	35,727	0	0	0	41,778	0	30,0	0	0	0	0	0	0	25,857	36,667	52,083	0	0	0	0	0	0	0	0	0	46,06
beatrix	0	23,1	33,92	37,773	0	35,222	0	0	0	0	23,4	0	0	26,0	20,667	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0	0	0	0	42,467	0	0	0	27,714	0	0	0	0	0	0	0	0	35,667	49,5	0	0	0	0	0	0	0	0	0	0	33,92
JoosepE	0	0	30,25	0	0	30,25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25,0	0	0	0	0	0	0	0	0	0	0	0	30,25
Alkeze	0	0	36,6	66,0	0	17,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41,0	0	0	0	0,0	0	0	66,0	0	0	0	0	0	0	0	0	0	0	0	0	10,0	0	0	0	0	0	0	0	0	0	0	0	36,6
ProtoMolecule	0	110,375	96,136	70,881	0	103,68	0	0	0	0	116,667	115,286	78,118	97,5	83,1	0	0	198,556	0	0	0	0	0	0	0	144,278	0	81,478	0	0	0	0	0	64,0	0	0	0	0	71,811	0	0	0	0	0	0	0,0	89,125	0	0	0	0	0	0	0	0	0	0	96,136
margus	0	65,65	62,745	58,0	50,467	64,198	50,467	0	0	0	58,25	0	0	0	107,0	69,455	0	0	68,583	0	0	0	0	0	0	37,714	29,0	73,031	0	0	0	0	69,0	0	50,5	72,0	51,667	0	0	0	0	0	0	0	0	54,714	0	23,667	0	0	50,467	0	0	0	0	0	0	62,357
Dave_Shinji	0	31,816	29,042	34,25	0	20,598	0	0	0	0	15,5	0	33,225	27,894	0	27,125	0	36,333	0	58,4	29,0	27,4	39,424	0	0	18,268	0	0	0	0	0	0	20,375	0	0	0	0	0	0	0	0	24,0	0	120,5	0	28,476	0	0	0	0	0	0	0	0	0	0	0	29,042
Kristjan	0	31,657	33,225	19,9	0	53,312	0	0	0	0	0	0	37,643	0	38,8	12,0	13,667	29,273	0	0	0	0	0	0	0	67,667	37,75	0	0	0	0	0	0	0	0	0	19,125	7,0	21,636	0	0	0	0	0	0	59,0	48,333	0	0	0	0	0	0	0	0	0	0	33,225
9to5	0	29,625	28,325	27,432	0	29,0	0	0	0	0	16,5	0	39,0	0	0	0	0	0	0	0	0	0	0	0	0	29,714	0	0	0	0	0	0	27,432	0	0	0	0	0	0	0	0	0	0	0	0	28,0	0	0	0	0	0	0	0	0	0	0	0	28,325
Jaanus	0	0	158,0	0	0	158,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158,0	0	0	0	0	0	0	0	0	0	0	0	158,0
Sõne	0	0	48,351	16,0	0	49,25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66,857	31,0	49,591	0	0	0	0	16,0	0	0	0	0	0	0	0	0	0	0	0	0	30,5	0	0	0	0	0	0	0	0	0	0	0	48,351
AndG	0	0	43,837	0	0	43,837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50,419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26,833	0	0	0	0	0	0	0	0	0	0	0	43,837
r1cowet (Daniil Dzembak)	0	0	7,0	0	0	7,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,0	0	0	0	0	0	0	0	0	0	0	0	7,0
Oskar	32,333	36,345	27,978	17,0	28,667	22,872	27,444	49,0	24,0	0	0	0	0	66,4	0	0	87,0	0	0	0	39,667	22,579	0	0	0	22,0	0	0	0	0	0	0	17,0	0	0	0	0	0	0	0	0	0	0	0	0	26,167	15,2	0	0	0	0	35,667	23,333	0	0	0	0	28,007
Tafka	0	44,633	41,97	0	0	15,333	0	0	0	0	0	0	33,0	49,875	44,263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15,5	15,0	0	0	0	0	0	0	0	0	0	0	41,97
lava	0	29,0	25,056	0	0	23,083	0	0	0	0	26,0	0	0	0	0	0	32,0	0	0	0	0	0	0	0	0	33,0	0	14,667	0	0	8,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27,429	0	0	0	0	0	0	0	0	0	0	0	25,056
teeleht	0	66,536	72,844	311,0	0	52,333	0	0	0	0	0	0	0	0	0	0	45,667	47,5	3,0	67,375	0	0	113,25	63,6	0	73,5	0	0	0	0	0	0	0	0	0	0	0	0	311,0	0	0	0	0	0	0	10,0	0	0	0	0	0	0	0	0	0	0	0	72,844
TightRobotron	0	23,167	20,286	0	0	3,0	0	0	0	0	23,167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,0	0	0	0	0	0	0	0	0	0	0	0	20,286
Teisi-LIis	0	58,71	52,907	41,632	0	61,5	0	0	0	0	76,0	0	0	0	0	0	82,5	0	20,5	73,273	35,2	0	0	0	0	71,333	0	0	0	0	0	0	0	0	0	0	52,25	0	0	0	0	69,667	0	43,2	0	32,0	0	0	0	22,429	0	0	0	0	0	0	0	52,907
Kristina	0	0	167,5	0	0	167,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156,5	0	183,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174,0	0	0	0	0	0	0	0	0	0	0	0	167,5
Anja	0	50,939	50,442	28,5	35,0	53,973	35,0	0	0	0	29,571	0	0	0	15,0	0	0	0	0	0	58,36	0	0	0	0	58,5	0	0	0	0	0	0	37,0	0	0	0	0	0	0	0	0	26,8	0	0	0	51,8	0	0	0	0	35,0	0	0	0	0	0	0	50,375
SmileyMusic	0	0	17,667	0	0	17,667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23,5	0	0	0	0	0	0	0	0	0	0	0	17,667
Ely	0	16,444	25,191	27,294	0	27,238	0	0	0	0	16,444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36,167	0	0	0	0	0	0	27,294	0	0	0	0	0	0	0	0	0	0	0	0	50,0	13,625	32,667	0	0	0	0	0	0	0	0	0	25,191
Edvin	0	82,44	78,23	82,018	80,5	54,986	80,5	0	0	0	62,0	135,0	95,933	57,19	92,4	62,273	114,333	51,0	66,394	192,0	39,667	107,271	122,08	59,36	0	123,333	0	53,277	0	12,0	0	0	0	73,125	105,5	42,857	75,329	0	112,824	72,444	0	114,167	0	0	0	29,0	0	42,5	0	57,444	80,5	0	0	0	0	0	0	78,257
Ahti	0	58,875	61,877	0	0	62,062	0	0	0	0	0	43,143	0	0	0	0	169,0	0	0	0	0	0	0	0	0	17,0	0	71,307	0	0	0	271,0	0	0	0	0	0	0	0	0	0	0	0	0	0	14,333	23,048	0	0	0	0	0	0	0	0	0	0	61,877
KrabyK	0	0	20,667	0	0	20,667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28,0	0	0	0	0	0	0	0	0	0	0	0	20,667
Olari	0	37,125	42,604	0	0	44,973	0	0	0	0	37,125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46,139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,0	0	0	0	0	0	0	0	0	0	0	0	42,604
IlmarB	0	67,889	62,714	61,333	50,333	67,2	50,333	0	0	0	57,0	0	158,0	0	49,667	0	0	0	94,0	90,333	50,0	17,0	0	0	0	65,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61,333	0	0	0	77,5	0	50,0	0	0	50,333	0	0	0	0	0	0	61,737
Karis	0	42,875	48,0	44,111	0	57,5	0	0	0	0	50,667	0	0	0	41,0	0	0	0	0	0	34,0	0	0	0	0	49,8	0	0	26,0	0	0	0	0	0	0	0	76,0	0	53,6	0	17,667	0	0	0	0	0	92,5	0	0	0	0	0	0	0	0	0	0	48,0
krohtla	7,0	67,38	64,381	67,57	50,415	57,308	50,951	7,0	0	73,0	143,2	0	104,714	53,611	59,318	56,495	70,978	81,767	64,542	79,896	60,056	0	88,875	35,5	59,0	45,593	72,0	77,128	0	34,143	63,333	0	0	0	46,5	86,333	63,826	77,375	70,958	61,077	37,0	73,783	0	0	58,714	0	42,211	39,0	0	22,333	46,769	43,6	56,714	47,0	0	0	0	63,928
Scharlett	0	112,818	114,922	62,667	0	126,152	0	0	0	926,0	0	157,833	85,833	60,0	108,8	118,667	0	0	0	0	0	0	0	0	0	50,727	0	144,615	0	0	0	0	0	0	0	0	0	0	0	79,667	0	0	0	0	0	0	66,0	73,75	0	28,667	0	0	0	0	0	0	0	114,922
LarsAsi	0	36,05	36,954	44,091	0	49,0	0	0	0	0	0	0	0	0	33,061	32,965	25,4	50,929	38,462	0	0	36,0	43,696	60,0	0	55,75	0	0	4,0	0	0	0	0	0	0	0	40,875	73,5	11,0	0	0	0	0	0	0	0	40,0	0	0	0	0	0	0	0	0	0	0	36,954
Deleted User	0	141,167	149,45	176,0	0	149,167	0	0	0	0	0	355,0	56,5	0	95,5	188,0	0	0	0	0	0	0	0	0	0	167,667	0	0	0	0	0	0	0	176,0	0	0	0	0	0	0	0	0	0	0	0	0	164,333	100,333	0	0	0	0	0	0	0	0	0	149,45
JanTreier	0	26,455	36,097	0	0	59,667	0	0	0	0	23,5	0	0	0	0	26,75	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72,857	27,0	0	0	0	0	0	0	0	0	0	36,097
MeusChapeus	0,0	61,403	63,527	76,355	0,0	82,111	0	0,0	0	0	0	0	112,571	109,0	69,692	51,679	0	90,0	66,0	0	113,889	0	52,383	146,0	0	0	0	86,0	0	86,167	0	0	0	0	0	0	60,0	59,0	151,0	0	0	58,857	72,4	0	0	0	50,0	0	0	0	0	0	0	0	0	0	0	63,451
Ivo	0	0	55,433	0	0	55,433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,0	0	52,259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123,5	0	0	0	0	0	0	0	0	0	0	55,433
raimondl	0	92,3	67,333	62,857	0	51,75	0	0	0	0	0	0	0	92,3	0	0	0	0	0	0	0	0	0	0	0	44,0	0	41,75	0	0	0	0	58,2	0	0	35,0	0	0	0	0	0	0	0	0	69,25	0	69,25	45,0	0	0	0	0	0	0	0	0	0	67,333
Raggamasta	0	46,097	43,659	42,667	0	33,286	0	0	0	0	0	11,0	30,857	81,0	59,143	40,889	104,0	55,667	0	63,0	5,0	0	0	0	0	33,667	0	0	0	0	0	0	31,0	0	0	0	72,0	0	0	0	25,0	0	0	0	0	0	31,0	0	0	0	0	0	0	0	0	0	0	43,659
Karliito	0	71,182	65,15	2,0	0	64,75	0	0	0	0	0	9,0	0	0	97,0	0	0	110,5	65,143	0	0	0	0	0	0	28,0	64,2	0	0	0	0	0	0	0	0	0	0	0	2,0	0	0	0	0	0	0	0	84,5	0	0	0	0	0	0	0	0	0	0	65,15
HarriH	0	62,814	65,154	55,367	112,0	71,286	112,0	0	0	0	47,765	0	49,28	84,417	0	109,0	0	0	0	69,194	35,5	0	0	0	0	101,4	0	72,806	0	0	0	0	47,5	69,091	0	0	43,0	10,0	92,5	0	0	0	0	0	0	0	25,5	61,778	0	0	112,0	0	0	0	0	0	0	65,365
Tidrexion	0	66,532	65,667	55,875	64,957	72,5	64,957	0	0	0	97,5	0	61,5	82,0	45,667	25,0	0	58,36	0	11,0	94,5	0	78,35	0	0	75,5	0	0	0	43,0	0	0	0	0	0	0	0	0	169,0	0	0	0	0	0	0	0	90,0	0	0	39,714	64,957	0	0	0	0	0	0	65,616
mikklahe	0	41,789	49,389	0	0	53,514	0	0	0	0	43,938	30,333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68,0	0	0	0	0	0	0	0	0	0	0	49,389
fox	0	48,524	66,052	0	0	72,625	0	0	0	0	122,0	53,0	34,667	47,0	38,0	0	0	0	0	0	0	0	0	0	0	67,571	62,5	78,111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16,5	87,182	0	0	0	0	0	0	0	0	0	66,052
Ken	0	31,669	37,154	79,333	39,917	41,678	39,917	0	0	0	25,041	0	46,0	29,852	0	0	35,071	50,875	0	93,6	0	0	0	0	0	30,429	0	57,047	0	0	0	0	0	0	0	0	0	0	79,333	0	0	0	0	0	0	0	23,444	26,75	0	0	40,955	28,5	0	0	0	0	0	37,241
Greete	0	0	129,0	0	0	129,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129,0	0	0	0	0	0	0	0	0	0	0	129,0
PiiaMiia	0	0	27,571	0	0	27,571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15,25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32,5	0	0	0	0	0	0	0	0	0	0	27,571
123321	0	71,619	46,374	0	0	38,8	0	0	0	0	0	0	130,0	0	0	0	0	0	0	60,308	0	0	76,667	0	0	0	18,5	40,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39,182	0	0	0	0	0	0	0	0	0	46,374
pesalu	0	77,963	78,018	72,149	0	82,734	0	0	0	0	47,588	0	77,362	92,895	81,013	0	0	0	0	84,4	0	0	0	0	0	0	64,5	84,905	0	0	0	0	0	86,917	94,0	144,0	0	0	0	0	58,357	0	34,0	0	0	0	0	0	0	42,2	0	0	0	0	0	0	0	78,018
ErkkiA	0	98,425	99,111	111,778	0	81,8	0	0	0	0	88,111	0	0	0	0	0	0	0	0	0	260,2	119,0	59,429	0	0	21,0	0	97,0	0	0	0	0	0	0	0	0	105,286	0	0	0	0	0	134,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99,111
Margo	0	114,545	198,375	310,818	0	41,0	0	0	0	0	0	0	46,5	0	0	0	0	167,333	114,0	302,0	0	0	0	45,0	0	0	0	41,0	0	0	0	0	0	0	0	0	0	0	209,0	0	0	99,0	776,0	0	288,0	0	0	0	0	0	0	0	0	0	0	0	0	198,375
kf	0	70,3	79,375	81,0	0	108,0	0	0	0	0	160,0	0	0	0	0	0	90,0	0	0	41,857	0	0	0	0	0	78,0	0	123,0	0	0	0	0	0	0	0	0	0	0	0	0	0	81,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79,375
Kristo	0	23,0	38,2	0	47,0	40,333	47,0	0	0	0	0	0	0	0	0	0	0	0	0	0	23,0	0	0	0	0	0	0	40,333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47,0	0	0	0	0	0	0	38,75
KO	0	216,5	226,667	0	0	247,0	0	0	0	0	0	0	0	0	0	0	0	0	216,5	0	0	0	0	0	0	0	0	247,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226,667
Frank	0	39,5	45,135	36,167	58,75	54,4	58,75	0	0	0	43,333	127,0	29,0	32,5	39,5	17,0	35,25	0	0	0	0	0	0	0	0	0	14,0	64,5	0	0	0	0	0	0	0	67,5	20,5	0	0	0	0	0	0	0	0	0	0	0	0	0	49,0	0	88,0	0	0	0	0	46,05
jevg	0	0	73,0	75,5	0	71,75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71,75	0	0	0	0	0	0	0	0	0	0	75,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73,0
KrisTi	0	119,865	114,661	110,053	0	109,632	0	0	0	0	129,2	0	97,0	129,286	78,5	0	0	0	0	0	0	0	0	0	0	88,5	0	72,357	0	0	0	0	154,0	81,722	0	129,25	134,714	0	0	0	0	0	0	0	0	0	0	297,667	0	0	0	0	0	0	0	0	0	114,661
eikall	0	102,1	84,808	238,0	0	63,067	0	0	0	0	0	0	0	0	0	128,0	0	0	0	65,4	0	0	141,5	0	0	0	0	63,067	0	0	0	0	0	0	0	0	0	0	0	0	0	238,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84,808
