Nimi	dj01	dj02	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
KrabyK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
Olari	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	53
IlmarB	0	0	0	4	0	1	0	3	0	0	0	3	3	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	9	0	0	0	0	0	0	35
Karis	0	0	0	3	0	0	0	3	0	0	0	0	0	2	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	1	0	5	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	25
krohtla	1	0	2	5	0	28	36	44	194	46	60	24	48	18	0	8	2	3	27	2	39	0	7	3	0	0	0	2	9	23	8	24	13	2	23	0	0	7	0	19	5	0	3	13	25	42	1	0	0	0	816
Scharlett	0	0	1	0	6	6	2	5	3	0	0	0	0	0	0	0	0	0	11	0	26	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	4	0	3	0	0	0	0	0	0	0	77
LarsAsi	0	0	0	0	0	0	0	33	85	20	14	39	0	0	2	23	4	0	8	0	0	1	0	0	0	0	0	0	0	8	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	241
Deleted User	0	0	0	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	20
JanTreier	0	0	0	2	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	31
MeusChapeus	1	0	0	0	0	7	4	13	53	0	5	13	0	9	0	128	4	0	0	0	2	0	6	0	0	0	0	0	0	12	2	5	0	0	7	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	277
Ivo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	30
raimondl	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	8	0	4	1	0	0	0	0	0	0	0	0	0	36
Raggamasta	0	0	0	0	1	7	1	7	9	1	3	0	1	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	41
Karliito	0	0	0	0	1	0	0	1	0	0	2	7	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20
HarriH	0	0	0	34	0	25	12	0	9	0	0	0	36	2	0	0	0	0	10	0	31	0	0	0	0	4	11	0	0	12	1	2	0	0	0	0	0	0	0	2	27	0	0	3	0	0	0	0	0	0	221
Tidrexion	0	0	0	2	0	4	1	3	2	0	25	0	1	4	0	20	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	7	23	0	0	0	0	0	0	99
mikklahe	0	0	0	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	54
fox	0	0	0	1	2	3	13	2	0	0	0	0	0	0	0	0	0	0	21	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	77
Ken	0	0	0	74	0	2	27	0	0	14	8	0	5	0	0	0	0	0	7	0	43	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	9	28	0	0	22	2	0	0	0	0	0	247
PiiaMiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	14
123321	0	0	0	0	0	2	0	0	0	0	0	0	13	0	0	6	0	0	0	4	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	91
pesalu	0	0	0	17	0	47	19	75	0	0	0	0	5	0	0	0	0	0	0	10	84	0	0	0	0	0	24	12	1	0	0	0	0	28	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	331
ErkkiA	0	0	0	9	0	0	0	0	0	0	0	0	0	5	5	21	0	0	1	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
Margo	0	0	0	0	0	2	0	0	0	0	3	2	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	6	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24
kf	0	0	0	2	0	0	0	0	0	1	0	0	7	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Kristo	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5
