Jrk.	Nimi	Lühike	Kõik	%
202	andrestimate	1	30	3,33
203	StoneMalone	4	30	13,33
204	Neoduck	4	30	13,33
205	tsarapuu	6	30	20,0
206	Lkesse	2	30	6,67
207	Kadi Riin	1	27	3,7
208	CodingBad	2	27	7,41
209	Jan	4	27	14,81
210	Paps	1	27	3,7
211	al.tsypov	1	26	3,85
212	fredpaist	2	25	8,0
213	Lammas	1	24	4,17
214	TheCrimee	4	23	17,39
215	blender ™	6	21	28,57
216	TightRobotron	3	21	14,29
217	hard1	1	21	4,76
218	Sukram	1	21	4,76
219	Karl_H	1	20	5,0
220	napoleon	3	18	16,67
221	Marcel	4	18	22,22
222	eikall	1	18	5,56
223	fatezer0	2	18	11,11
224	kilpkonn	1	16	6,25
225	Venres	5	15	33,33
226	Alkeze	1	15	6,67
227	pitkunait	3	15	20,0
228	Stas	1	15	6,67
229	Krandr	1	12	8,33
230	Th3_D4ng3r	2	9	22,22
231	SmileyMusic	1	9	11,11
232	KrabyK	1	9	11,11
233	Mkitvel	2	9	22,22
234	SportAnLife	1	6	16,67
235	ilja	1	6	16,67
236	synsustainiac	1	6	16,67
237	Preheat to 375°	1	6	16,67
238	Ove	1	6	16,67
239	Luisa	1	6	16,67
240	Sawa	1	6	16,67
241	mekaanik	1	6	16,67
242	Raki	1	3	33,33
243	Ahti	1	3	33,33
244	omarmahlapuu	1	3	33,33
245	Break_The_Silence	1	3	33,33
246	nik99atin	1	3	33,33
247	Diana Pachner	1	3	33,33
