Server	Channel	User	Timestamp	Message
0	613300043474010113	483890165056536598	1566328961	seda%20k%C3%BCll%20%C3%A4ra%20ei%20hakkaks%20kiskuma.%20%F0%9F%98%84
0	613300043474010113	483890165056536598	1566329019	rekursiivse%20m%C3%B5tlemise%20v%C3%B5iks%20lisada%20alles%20rekursiooni%20n%C3%A4dalal%3F
0	613453117752737889	483890165056536598	1566329025	memed%20siia.
0	613453117752737889	366546170149076993	1566329033	kas%20see%20kanal%20on%20vajalik%3F
0	613453117752737889	366546170149076993	1566329040	meil%20oli%20v%C3%A4he%20meemi
0	613453117752737889	366546170149076993	1566329048	aasta%20enne%20teid%20oli%20palji
0	613453117752737889	366546170149076993	1566329053	aga%20vaatame
0	613453117752737889	483890165056536598	1566329066	no%20ehk%20tulevad%20n%C3%BC%C3%BCd%20meemimaiad%20tudengid.
0	613453117752737889	366546170149076993	1566329077	pelmeem%20oli%20teil
0	613453117752737889	483890165056536598	1566329085	oojaa%21
0	613300043474010113	483890165056536598	1566329120	aga%20n%C3%BC%C3%BCd%20tuli%20v%C3%A4lja%2C%20et%20ma%20ei%20saa%20seda%20emotikoni%20sealt%20ikkagi%20k%C3%A4tte.%20%F0%9F%98%A6
0	613300043474010113	366546170149076993	1566329133	aga%20teeks%20iga%20n%C3%A4dal%20temaatilise%20emoji%3F
0	613300043474010113	483890165056536598	1566329144	jah%2C%20v%C3%B5ib%20nii%20k%C3%BCll.
0	613300043474010113	483890165056536598	1566329154	hm%2C%20s%C3%B5neteemaline%20emotikon.%20%F0%9F%A4%94
0	613300043474010113	483890165056536598	1566329159	tulevad%20jutum%C3%A4rgid...%20%F0%9F%98%84
0	613300043474010113	483890165056536598	1566329172	%28nali.%29
0	613300043474010113	366546170149076993	1566329185	%28naer%29
0	613300043474010113	483890165056536598	1566329204	%28%20%F0%9F%98%84%20%29
0	610782840321212429	151099445944123392	1566378425	tere
0	610782840321212429	327387252026245121	1566378431	tere%21
0	610782840321212429	288344755551862784	1566378535	tervist
0	610782840321212429	366546170149076993	1566378596	tere
0	610782840321212429	151099445944123392	1566378714	%3C%40366546170149076993%3E%20ja%20k%C3%B5ik%20teised%2C%20kes%20siin%20on%2C%20kas%20on%20kellelgi%20informatsiooni%2C%20a%29%20kas%20on%20v%C3%B5imalik%20enne%20augusti%20l%C3%B5ppu%20kuidagi%20teada%20saada%20oma%20%C3%B5ppegruppi%20%20ja%20b%29%20kas%20see%20grupi%20teadmine%20on%20oluline%20%C3%B5ppeainete%20valikul/kinnitamisel%3F
